Date,SPX_Close
2010-01-31,1123.58
2010-02-28,1089.16
2010-03-31,1152.05
2010-04-30,1197.32
2010-05-31,1125.06
2010-06-30,1083.36
2010-07-31,1079.80
2010-08-31,1087.28
2010-09-30,1122.08
2010-10-31,1171.58
2010-11-30,1198.89
2010-12-31,1241.53
2011-01-31,1282.62
2011-02-28,1321.12
2011-03-31,1304.49
2011-04-30,1331.51
2011-05-31,1338.31
2011-06-30,1287.29
2011-07-31,1325.19
2011-08-31,1185.31
2011-09-30,1173.88
2011-10-31,1207.22
2011-11-30,1226.42
2011-12-31,1243.32
2012-01-31,1300.58
2012-02-29,1352.49
2012-03-31,1389.24
2012-04-30,1386.43
2012-05-31,1341.27
2012-06-30,1323.48
2012-07-31,1359.78
2012-08-31,1403.45
2012-09-30,1443.42
2012-10-31,1437.82
2012-11-30,1394.51
2012-12-31,1422.29
2013-01-31,1480.40
2013-02-28,1512.31
2013-03-31,1550.83
2013-04-30,1570.70
2013-05-31,1639.84
2013-06-30,1618.77
2013-07-31,1668.68
2013-08-31,1670.09
2013-09-30,1687.17
2013-10-31,1720.03
2013-11-30,1783.54
2013-12-31,1807.78
2014-01-31,1822.36
2014-02-28,1817.04
2014-03-31,1863.52
2014-04-30,1864.26
2014-05-31,1889.77
2014-06-30,1947.09
2014-07-31,1973.10
2014-08-31,1961.53
2014-09-30,1993.23
2014-10-31,1937.27
2014-11-30,2044.57
2014-12-31,2054.27
2015-01-31,2028.18
2015-02-28,2082.20
2015-03-31,2079.99
2015-04-30,2094.86
2015-05-31,2111.94
2015-06-30,2099.29
2015-07-31,2094.14
2015-08-31,2039.87
2015-09-30,1944.41
2015-10-31,2024.81
2015-11-30,2080.62
2015-12-31,2054.08
